oligo_tag,timepoint,temp,Size_Factor,sample,pseudostage,ref_pseudostage,mean.nn.time,mean.nn.pseudostage,umap_1,umap_2
HF4-36-HF4-36hpf-34C_P12_B9,36,34C,0.997111819917725,HF4,12.2123504155261,23.3489454833187,38.88,25.856459947154,-6.12718343734741,2.50068140029907
HF4-24-HF4-24hpf-32C_P2_C5,24,32C,1.00334376879221,HF4,0.663409648809784,6.11692284644427,26.08,9.92875562940024,-3.41716432571411,-5.28382205963135
HF4-36-HF4-36hpf-32C_P12_C3,36,32C,1.00156321197093,HF4,12.7844521101866,23.3489454833187,37.52,26.4353075832999,-6.45324230194092,3.87994194030762
HF4-30-HF4-30hpf-32C_P9_H5,30,32C,0.998892376739007,HF4,12.7912695526907,16.0565607406917,35.68,23.0276615606443,-5.22315740585327,-2.09020376205444
HF4-36-HF4-36hpf-32C_P12_E5,36,32C,0.998002098328366,HF4,12.7845389532575,23.3489454833187,37.68,27.7260122784019,-6.83869934082031,5.18035459518433
HF4-30-HF4-30hpf-34C_P9_E8,30,34C,1.00156321197093,HF4,14.3671497613885,23.867036081384,38.856,27.6131987383755,-6.3936619758606,5.00462579727173
HF4-36-HF4-36hpf-34C_P12_C11,36,34C,1.00245349038157,HF4,11.9906451491632,23.867036081384,41.04,27.8879185080179,-6.20039796829224,5.39626502990723
HF4-36-HF4-36hpf-32C_P12_H5,36,32C,1.00245349038157,HF4,16.9861990762814,23.276328538259,36.88,25.8064722361063,-6.20826816558838,2.8955454826355
HF4-24-HF4-24hpf-32C_P2_E4,24,32C,0.998892376739007,HF4,0.00358233194339519,6.11692284644427,27.76,12.7392882323302,-4.62064409255981,-2.98875665664673
HF4-36-HF4-36hpf-34C_P12_E8,36,34C,1.00423404720285,HF4,12.7846257963284,25.5134105332413,39.064,28.8576460277669,-6.36607980728149,5.70457029342651
HF4-36-HF4-36hpf-34C_P12_D8,36,34C,0.995331263096443,HF4,12.7847126393994,26.0856664156467,41.52,29.6283728679895,-6.32077169418335,5.83456611633301
HF4-24-HF4-24hpf-34C_P2_H8,24,34C,1.00601460402413,HF4,3.76345820898145,13.8771345181016,34.48,21.9932128920301,-4.8227128982544,-2.52699160575867
